,datePublished,user,text_header,verified,text_content,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended
13,11th August 2024,Soniq Lafuente,"""Never travel with this company""",✅ Trip Verified ,"   Never travel with this company. They lost our suitcases on a one-hour flight (they didn't directly put them on the plane) in addition to leaving with a delay of more than 3 hours, one of which they had us sitting on the plane without air conditioning (it was more than 30 degrees ) The suitcases were never sent to our next destination. We had to change plans and go to Delhi to look for them. They promised us they would send them and they didn't, they hung up on us, they didn't answer emails and most of the contact numbers don't work. More than 5 days without clothes, charger, medicine... and today it is impossible for us to claim anything, they tell us that they are not responsible. Several days wasted on calls and half an afternoon at the airport trying to claim and we left without getting anything. Jamás viajes con esta compañía. Nos perdieron las maletas en un vuelo de una hora (directamente no las subieron al avión) además de salir con un retraso de más de 3 horas, una de las cuales nos tuvieron sentados en el avión sin aire acondicionado (estábamos a más de 30 grados) Las maletas jamás nos las mandaron a nuestro siguiente destino. Tuvimos que cambiar planes e ir a Delhi a buscarlas. Nos prometían que las mandaban y no lo hacían, nos colgaban el teléfono, no contestaban a los emails y la mayoría de los números de contacto no funcionan. Más de 5 días sin ropa, cargador, medicinas...y a día de hoy nos es imposible reclamar nada, nos dicen que no se responsabilizan. Varios días perdidos en llamadas y media tarde en el aeropuerto intentando reclamar y nos vamos sin conseguir nada.",NA,Couple Leisure,Economy Class,Leh to Delhi,July 2024,1,1,NA,NA,1,NA,1,no
14,10th August 2024,Priyanka Kumari,"""Worst experience""",Not Verified ,"  Worst experience with spicejet. They always delayed flights for operational reasons. How the all operational issues are occurring in spicejet airlines only. And if they delay the flights for 5 -5 long hours, have some mercy towards customers, but no, their staffs are constantly laughing on the customers. Every time spicejet flights got delayed. So, now onwards I am decided to never take spicejet flights from anywhere.",NA,Solo Leisure,Economy Class,Delhi to Patna,July 2024,2,2,1,1,1,1,2,no
15,10th August 2024,T Paniyal,"""landed the flight very smoothly""",✅ Trip Verified ,"   I was coming back to Delhi on 31st July from SHIRDI on Spicejet flight no. SG 8946 expected to Land at 7.30 PM. Since the weather was extremely bad during the whole flight, there were frequent turbulences. On the Last stretch for around 45 minutes we were asked to put Seatbelts on due to constant Turbulence & all passengers were frightened. But the Pilot & the crew kept very calm & composed and Pilot also sounded very confident assuring us with his regular announcements although being a frequent flyer I knew this was very unusual weather disturbance. Later came to know that many flights were diverted from Delhi that time as there was constant heavy downpour but our Pilot landed the flight very smoothly and with minimum delay.",Boeing 737 - 800,Family Leisure,Economy Class,Shirdi to Delhi,July 2024,5,5,1,NA,5,NA,5,yes
16,9th August 2024,Victor Bordoloi,“the same with all SpiceJet flights”,✅ Trip Verified , Boarding call was announced and all passengers were asked to queue after which boarding was not started for next 45mins. When the buses arrived only 1 number of bus came in the beginning for a fully booked flight causing a further delay. On top of that more than 1 hour of delay. It's the same with all SpiceJet flights.,NA,Solo Leisure,Economy Class,Delhi to Guwahati,August 2024,4,3,NA,NA,1,NA,1,no
17,21st July 2024,K Mansour,"""good service by the crew""",✅ Trip Verified ," I have had good service by the crew. It was amazing, the crew was very enthusiastic and warm welcome. It was one of the best services in my experience.",NA,Solo Leisure,Economy Class,Calicut to Dubai,July 2024,5,5,5,5,5,1,5,yes
18,18th July 2024,A Kajan,"""excellent hospitality""",✅ Trip Verified ,  It's very grateful to SpiceJet for the service in flight. Everything is fine with excellent hospitality. Very politely behavior and warmly welcome from your cabin crew and all members.,NA,Family Leisure,Economy Class,Kolkata to Delhi,July 2024,5,5,5,NA,5,NA,5,yes
19,9th July 2024,Satvir Singh,"""increase delay timing""",✅ Trip Verified ,"   I have been waiting from 3 hours and slowly they increase delay timing and I have scheduled my train accordingly but I can't able to reach on time. I have talked from customer service they said spicejet don't provide any service for being delayed, I am at Dubai International airport",NA,Solo Leisure,Economy Class,Dubai to Mumbai,July 2024,1,1,1,1,1,1,1,no
20,6th July 2024,Z Hakira,"""I would not recommend SpiceJet""",✅ Trip Verified ,  I would not recommend SpiceJet as they frequently reschedule flights. My initial flight was rescheduled for the next day From 6/07/2024 to 7/07/2024. Initial scheduled take off time was 17:35hrs and arrival time in Mumbai was 21:15hrs. They rescheduled 24hrs before. New take off 20:30hrs and new arrival 0:10hrs. At 15:11pm on 5/07/2024 received another reschedule. New take off 21:15hrs and new arrival 00:55hrs. The plane eventually took off at around 21:35hrs. Luggage was received on belt 4 of terminal 1 at Mumbai domestic approximately 45 min after landing.,NA,Family Leisure,Economy Class,Srinagar to Mumbai,July 2024,2,2,2,NA,1,1,1,no
21,6th July 2024,A Masyan,"""it’s almost 7 hours late""",✅ Trip Verified ,  It’s been 4th time already since my flight has been rescheduled and now it’s almost 7 hours late. Had a meeting to attend but due to their poor third class service I won’t be able to reach there. They don’t even have any alternative flight to provide. What’s the point of booking flight when I’ll reach there after even the train will also reach. Pathetic airline.,NA,Solo Leisure,Economy Class,Ayodhya to Delhi,July 2024,1,NA,NA,NA,1,NA,1,no
22,3rd July 2024,Nirav Gala,"""Third class services""",Not Verified ,   Third class services from Spicejet. Never on time it's better they shut down themselves rather than harassing customers.  I was suppose to fly tomorrow morning at 9 and received message now that flight is delayed by 5 hrs - what's the point of we booking when we have to be there somewhere at a specific time. You take money immediately for booking but when it comes to refund you'll take 7 days. W,NA,Business,Economy Class,Jaipur to Mumbai,June 2024,NA,NA,NA,NA,NA,NA,1,no
23,26th June 2024,Shruthy Sabu,“Such a pathetic service”,Not Verified , Such a pathetic service they rescheduled the flight 4 times which is really unacceptable at last moment. This was for my mom whose visa was expiring.,NA,Solo Leisure,Economy Class,Dubai to Kochi,June 2024,1,1,1,1,1,1,1,no
24,25th June 2024,M Bajwa,“they ran out of meals”,✅ Trip Verified , Incompetent staff to handle delays. Food was to be served to all passengers but they ran out of meals. Strange how they managed the count. Diabetic patient like me and few senior citizens went hungry.,NA,Couple Leisure,Economy Class,Goa to Pune,June 2024,3,4,1,1,2,1,2,no
25,22nd June 2024,Sanath Kumar,"""not recommend this airline """,✅ Trip Verified ,  The flight got delayed indefinitely and the airline people didn’t even bother to announce the delay and no refreshment was provided to the elders and children leave alone adults. While asked they gave a senseless response and this is because the flight is the only available carrier in that particular route. Though I did not raise this issue immediately and I was a spicemax customer this is silly and unpardonable . I Would not recommend this airline to any of my friends,NA,Business,Economy Class,Madurai to Dubai,June 2024,1,1,1,1,1,1,1,no
26,15th June 2024,Aaditya Gupta,"""ask you to weigh you handbag""",✅ Trip Verified ,  The absolute worst airline. The Luggage is handled in a way that you might start to pity what you are carrying. Amazingly they will ask you to weigh you handbag and if you happen to carry a laptop along with a few other electronic devices they will say anything to charge you extra. Opt for this airline only if you have no other option.,NA,Solo Leisure,Economy Class,Bagdogra to Mumbai,June 2024,1,1,NA,1,1,1,1,no
27,10th June 2024,Srividya Giridharan,"""Don't ever book this airline""",Not Verified ,"   Don't ever book this airline. First they will cancel the flight and then give you a reschedule option. Then at the airport they will say 30mins delay, then again they will not feel ashamed to say tyre burst so slight delay. Then we will be waiting at the gate and they will not even bother to inform. We will ask them why still not boarding. They will say delay by another 6hrs, then they will finally cancel after we are waiting at the airport for almost 20hrs.",NA,Family Leisure,Economy Class,Delhi to Srinagar,June 2024,NA,NA,NA,NA,1,NA,1,no
28,2nd June 2024,Praveen Gupta,“demanding extra money”,✅ Trip Verified ," On each airline, cabin bag is allowed up to 7kg apart from laptop bag. But SpiceJet has started weighing at the time of boarding both Laptop and cabin bag together and demanding extra money @Rs 600/kg. If you communicate that you haven’t checked in any bag then they also do not listen. They are also not allowing you to shift the bag to check in baggage by saying that time is over. Happened on Pune to Delhi flight on 2nd Jun and from some passengers they extra charge Rs. 3000. Never book any flight from SpiceJet.",NA,Solo Leisure,Economy Class,Pune to Delhi,June 2024,1,1,1,1,1,1,1,no
29,27th May 2024,Neel Shah,"""the exceptional service""",✅ Trip Verified ,"  I am writing to commend the exceptional service I experienced on my recent flight from Dubai to Pune on May 18. I was impressed by the professionalism and friendliness of  cabin crew.  In particular, I would like to extend my heartfelt thanks to Anjali and Harshit, whose attentiveness and warm demeanor made a significant difference in my travel experience.  I appreciate the seamless check-in process, comfortable seating, and excellent in-flight amenities. I will certainly recommend your airline to friends and family.",NA,Business,Economy Class,Dubai to Pune,May 2024,5,5,5,NA,5,NA,5,yes
30,27th May 2024,N Haksin,"""worst travelling experience""",✅ Trip Verified ,  Spicejet was the worst travelling experience I have ever had. I did prior web check in and made extra payment for a window seat and was allotted one. But when I came for my luggage check in they told me they had no record of me being allotted the seat or my payment. I showed them all the details but they did not buy it. They had no regards for the customer inconvenience as well I was ultimately allotted a middle seat which I was avoiding from the beginning. I will never use spicejet again and I would recommend the same for all.,NA,Solo Leisure,Economy Class,Pune to Delhi,May 2024,1,1,1,1,1,1,1,no
31,12th May 2024,Narendra Deraje,"""understand that it is a trap""",✅ Trip Verified ,"  Horrible experience at Mumbai airport today. I am a frequent flyer tried to board with my normal overnight briefcase and laptop bag. The staff stopped me to check the weight of my bag. It was just 10 kgs and I had not checked in any luggage. The staff refused to let me board without paying Rs. 1,800/- for extra weight. I tried to convince saying I dont have a check in luggage. Please understand that it is a trap. They know very well that we cannot go and check in our luggage even if we want to because boarding has already started and it is less than an hour of departure. This is done intentionally to fleece the regular travellers who do not bother to check in a briefcase. Finally I had to pay 1,800/- or I had to miss the flight.",NA,Business,Economy Class,Mumbai to Bagdogra,May 2024,1,1,1,1,1,1,1,no
32,1st May 2024,F Kassin,"""no regards for customer""",✅ Trip Verified ,"  One of my worst experiences. Ground staff absolutely disgusting, no regards for customer whatsoever. They want to charge me 1 kg and my laptop bag excess luggage flight delay multiple times. I had connecting trains I had lost money and stayed in hotel overnight. Best you can do just find something else. Ground service I want to zero star",Sg3780,Solo Leisure,Economy Class,Tezpur to Kolkata,May 2024,1,4,NA,NA,1,NA,1,no
33,28th April 2024,R Varson,"""Spicejet was bad""",✅ Trip Verified ,"   Everyone knows the reputation spicejet has. I chose to ignore it and had booked a round trip with spicejet Hyderabad - Chennai. On my flight to Chennai, I had a terrible experience. The flight was already delayed by an hour. I did not have a checkin bag, and only had cabin. I was asked to pay 1800rs extra for my laptop bag. I've never faced this with any other airline. They waited for the flight checkin to close to start checking the bags. I was forced to pay the full amount, but they gave a discount for the passenger who came after me. The flying experience was not good, a bathroom door that kept making noise in the air - it was loose I guess. It's really surprising that spicejet is still operating. Coming to my return flight (at 8:45am), I was hoping it would be smooth. But again, just at the time of checking in my baggage (7:35am), I get message that the flight has been rescheduled to 12noon. Upon checking with the staff they said the flight was supposed to come from Ahmedabad to Chennai, before going to Hyderabad, but due to technical reasons got sent back mid way. Even the 12noon was just an estimate and it can get delayed further. There was no other airline having a flight earlier than that too. And obviously now with higher prices since it's last minute. But anyways I took this as a punishment for booking Spicejet. Took a full refund (which is pennies compared to the fare of my new booking and the cab from and to the airport again) and booked with a different airline. I chose to ignore the other reviews, I hope you don't. Spicejet was bad, is bad and will be bad.",NA,Solo Leisure,Economy Class,Hyderabad to Chennai,April 2024,1,1,NA,NA,1,NA,1,no
34,19th April 2024,Vanishree Kulkarni,"""experience with Spicejet are horrible""",Not Verified ,"   Past few experience with Spicejet are horrible. A we have to suffer for late departures which are being conveyed to passenger at check in counter or even after immigration. Today was cherry on Cake.  My Husband is travelling from Pune to Dubai by SG 51 dated 18.4.24.. He was supposed to land at 10.55 pm. On not getting any updates I check on Dubaiaiports.com for arrival, to my surprise it showed: flight diverted to Muscat, Oman. No mail, no msg about status of the flight or the passenger. On calling Muscat airport , got to know that flight has be departed to Pune again.",NA,Family Leisure,Economy Class,Dubai to Pune,July 2023,1,2,1,1,1,1,1,no
35,18th April 2024,Manas Gupta,"!""seats are very uncomfortable""",✅ Trip Verified ,  Airplane was really poor condition. The seats are very uncomfortable. Tight leg space.  Got seat near washroom. Cabin crew staff is good - Helpful and Polite.,NA,Solo Leisure,Economy Class,Delhi to Bangkok,April 2024,1,4,1,3,1,4,1,no
36,3rd April 2024,Basheer Chennat,"""an issue with missing luggage""",✅ Trip Verified ,"  I recently flew with SpiceJet on 1st April 2024 from Dubai to Kozhikode and unfortunately encountered an issue with missing luggage. Despite reporting the issue immediately upon arrival, I was disappointed with the lack of action taken by the airline to address the situation. Upon landing, I promptly notified SpiceJet staff about the missing luggage, providing all necessary details. However, I was dismayed by the lack of communication and follow-up from the airline regarding the status of my luggage. As a customer, I understand that unforeseen circumstances can occur, but it's essential for airlines to prioritize customer service and take proactive steps to resolve such issues. Unfortunately, my experience with SpiceJet fell short in this regard. I urge SpiceJet to improve its baggage handling procedures and enhance communication with passengers regarding luggage issues. It's crucial for airlines to demonstrate accountability and provide timely updates to affected customers. I hope that by sharing my experience, SpiceJet will take necessary steps to address the underlying issues and prevent similar incidents from occurring in the future.",NA,Business,Economy Class,Dubai to Kozhikode,April 2024,2,1,NA,NA,1,NA,1,no
37,2nd April 2024,N Rath,“Do not book SpiceJet”,Not Verified ," Our flight got cancelled and they told us that the flight can't land because of bad weather. Weather was really good and they denied us accommodation because of this. They asked us to rebook the ticket as the ticket is now cancelled. After a long fight till late night 1am, they reschedule our flight to next day which was again cancelled next day. This is happening almost every day as we got to know from inside shop owners. It's really pathetic and a horrible experience. Lots of people cancelled and rebooked at 5 times of the actual flight rate. Do not book SpiceJet otherwise the risk is yours.",NA,Family Leisure,Economy Class,Port Blair to Kolkata,April 2024,3,2,NA,NA,2,3,1,no
38,31st March 2024,Ashwin Bansal,"""the worst airline in the country""",✅ Trip Verified ,"  This is probably the worst airline in the country. There’s not one point in my entire journey where I’ve not regretted choosing this airline. Their ground staff are extremely rude and threaten to deplane you if you have any qualms about anything. We had to wait for an hr for our luggage to arrive because the airline chose to park the plane in T2, however the arrival being in T1.",NA,Business,Economy Class,Bagdogra to Mumbai,March 2024,1,1,1,1,1,1,1,no
39,26th March 2024,Ramya Moolemajalu Vishwanatha,“a joy to have on board“,Not Verified ," I would like to highly compliment you on one of your flight attendants, Devaiah Napanda, he was the economy class flight attendant on SpiceJet on 24th March 2024 from Ayodya to Bengaluru. He was attentive, competent, pleasant, helpful, humorous, cheerful, professional - just a joy to have on board. Thank you so much.",NA,Family Leisure,Economy Class,Ayodya to Bengaluru,March 2024,5,5,5,NA,5,NA,5,yes
40,26th March 2024,M Parjin,"""condition is very bad""",✅ Trip Verified ,"   Aircraft condition is very bad. Chair is not working properly, Tv is not working  Tv panel is broken There is no cleanness is flight, ac vent not working properly.",NA,Solo Leisure,Economy Class,Bangkok to Delhi,March 2024,1,2,1,1,2,NA,1,no
41,21st March 2024,Manish Namdev,"""a third class service""",Not Verified ,"  Even after the flight was delayed 5 hours, there was no food, no water, and it was like yesterday, everything was very bad in SpiceJet. I have come to Bhubaneshwar to Delhi earlier this time and even though I was late for 3 hours, I have never checked the book before Even if someone gives me crores of rupees, I will not book again. Spicejet is a third class service, they also charge more money.",NA,Solo Leisure,Economy Class,Kolkata to Delhi,March 2024,2,2,NA,1,1,1,1,no
42,15th March 2024,Thyagaraju Palisetty,“a pleasant journey”,✅ Trip Verified ,It was a pleasant journey on this SpiceJet flight. Air-hostess are so kind and helpful. Supported well for senior citizens with great hospitality. Thanks to SpiceJet team.,NA,Solo Leisure,Economy Class,Ayodhya to Chennai,March 2024,5,5,5,5,5,NA,5,yes
43,15th March 2024,Ranjita Pandey,"""Great travel experience""",✅ Trip Verified ,  Marvelous courteous crew who took good care of all passengers. They should be rewarded for the patience shown towards the unruly ones. Great travel experience.,NA,Solo Leisure,Economy Class,New Delhi to Pune,March 2024,5,5,5,NA,5,NA,5,yes
44,14th March 2024,Kashyap Sistla,"""journey has been the best""",✅ Trip Verified ,"  I have been traveling frequently over flights these days and I should say this flight journey has been the best, especially the cabin crew for their wonderful service. Kudos to the flight crew Simran, harmanpreet and Arpita for their great hospitality. Keep doing the great work.",NA,Couple Leisure,Economy Class,Hyderabad to Delhi,March 2024,5,5,1,NA,5,NA,5,yes
45,11th March 2024,Sanjay Hodlur,"""outstanding service provided""",✅ Trip Verified ,"  I wanted to express my sincere appreciation for the outstanding service provided by SpiceJet. I would like to commend the flight attendants for their dedication to ensuring passenger comfort and satisfaction. Thank you for maintaining such high standards of customer service. My experience on SpiceJet Flight SG4005 was truly memorable, and I look forward to flying with SpiceJet again in the future.",NA,Solo Leisure,Economy Class,Bengaluru to Shiradi,March 2024,4,5,5,NA,5,NA,5,yes
46,11th March 2024,Irum Jan,“outstanding efforts and exemplary service”,✅ Trip Verified ," I recently had the pleasure of traveling on Flight SG958 from Srinagar to Delhi on February 23rd, and I am compelled to share my gratitude for the exceptional hospitality extended by the entire team and crew. From the moment I stepped onto the aircraft until the moment of disembarkation, the hospitality team and crew demonstrated a level of professionalism, warmth, and dedication that truly exceeded my expectations. Their commitment to ensuring a comfortable and enjoyable travel experience was evident in every interaction and gesture throughout the flight. Despite the challenges and uncertainties of travel, the hospitality team and crew on SG958 remained composed and attentive, catering to the needs of passengers with efficiency and grace. Their genuine smiles, proactive assistance, and prompt service contributed significantly to the overall positive atmosphere onboard. I was particularly impressed by the team’s adherence to safety protocols while maintaining a welcoming and hospitable environment onboard. Their seamless execution of duties and unwavering focus on passenger well-being deserve commendation. I want to express my sincere appreciation to the entire team and crew of Flight SG958 for their outstanding efforts and exemplary service. They have undoubtedly set a high standard for airline hospitality and left a lasting impression on me as a passenger. Thank you for making my journey from Srinagar to Delhi on February 23rd a truly memorable and pleasant experience.",SG 958,Solo Leisure,Business Class,Srinagar to New Delhi,February 2024,5,5,5,5,5,5,5,yes
47,26th February 2024,S Chatterjee,“they refused to take responsibility”,✅ Trip Verified ," SpiceJet proved to be incredibly disappointing and untrustworthy in my recent experience. Traveling with my family, a total of six individuals, we embarked on a journey from Amritsar (ATQ), India to DXB (Dubai) on February 24, 2024. The scheduled departure time was 08:40 AM, with a connecting flight from Dubai to London Heathrow at 14:30 Hrs via Emirates. Our ticket was booked through the booking.com portal as a single ticket, rather than separate bookings to facilitate the connection. However, our experience with SpiceJet quickly turned sour. Departing from ATQ, the flight was delayed by 55 minutes. Upon arrival in Dubai, we encountered further frustration as we remained onboard the aircraft for over an hour and a half without disembarkation. Initially, we were given excuses regarding weather conditions, despite the clear and sunny day in Dubai, and optimal weather conditions for take-off. Eventually, a member of the ground staff revealed the truth - the delay was due to SpiceJet's scheduling issues and the busy nature of Dubai airport. This delay resulted in us missing our connecting flight to London Heathrow. Expecting assistance from SpiceJet, we hurried to their counter hoping for a resolution. However, to our dismay, they refused to take responsibility or provide any alternative solutions. Their staff was unhelpful and dismissive, leaving us stranded in Dubai with our children. Consequently, we were forced to purchase new tickets at a staggering cost of £4061 to secure our journey back to the UK. I feel compelled to caution others against falling victim to this airline's deceptive practices. SpiceJet's lack of accountability and disregard for customer welfare make them a company to avoid at all costs.",NA,Family Leisure,Economy Class,Amritsar to London Heathrow via Dubai,February 2024,1,1,1,1,1,NA,1,no
48,25th February 2024,Balraj Muthu,"""they cancelled my ticket""",Not Verified , I booked ticket return from Ayodhya to Chennai through agent. Before travel 3 days they cancelled my ticket. Told me to rebook again same tickets & price 4000 rs more. Please don’t fly or book.,NA,Solo Leisure,Economy Class,Ayodhya to Chennai,February 2024,NA,NA,NA,NA,NA,NA,1,no
49,23rd February 2024,Amit Kumar,"""worst customer service""",Not Verified ," Worst airline in India. Rude staff, worst customer service. No notification of flight delays. They start notifying you hardly 10 mins before the boarding starts. Their flights keep delaying every hour. Avoid this airline under all circumstances.",NA,Business,Economy Class,Pune to Hyderabad,February 2024,1,1,1,1,1,1,1,no
